name,lat,lon,country,rate
Lambha,22.9339127,72.5760578,India,35.25
Sola,23.0829395,72.5247699,India,57.75
Saijpur,23.0638912,72.6422949,India,16.25
Ranip,23.08008,72.57178,India,43.5
Shahwadi,,,,51.5
Tragad,23.1283467,72.558657,India,54.75
Odhav,23.0244645,72.6688642,India,25
Odhav Industrial Estate,23.0227419,72.6606854,India,33.25
Ambawadi (Ahmedabad),23.031773,72.530662,India,10
Amraiwadi,23.0083901,72.62197341,India,63
Ellisbridge,23.0231449,72.5601423,India,46.5
Jodhpur Char Rasta,23.0371316,72.5290981,India,12.75
Anandnagar (Ahmedabad),23.0043253,72.5520748,India,61
Manekbag,,,,8.5
Asarwa Chakla,23.04498,72.6077,India,69
Polytechnic (Ahmedabad),23.030126,72.536614,India,36
Civil Hospital,23.05143835,72.60511614,India,28.75
Paldi (Ahmedabad),23.0148606,72.5585554,India,52.25
Meghaningar,,,,19
Sarkhej Road,22.9920346,72.50502712,India,64.75
Public Office (Ahmedabad),23.0392128,72.55560118,India,49.75
Shardanagar,23.01014405,72.55044653,India,14.5
Bapunagar,23.0362408,72.630339,India,30
Ashram Road,23.0507979,72.572722,India,39.25
Gita Mandir Road,20.8869827,70.4154537,India,67.25
Gujarat University,23.0382693,72.5477803,India,21.25
Navrangpura,23.0355882,72.5641854,India,57
Shah Alam Roza,22.9998665,72.5829655,India,44
Bakrol,22.562472,72.911477,India,9.5
Bhat,22.8774195,72.4622791,India,55
Motera,23.0917717,72.59733447,India,37
O N G C,23.081075,69.594983,India,68.5
Sabarmati,23.0770712,72.5890677,India,16
Kasindra,22.8926473,72.4823306,India,34.25
Kolat,22.95523425,72.42225723,India,25.5
Navapura,22.945666,72.451684,India,47.5
Sanathal,22.9684565,72.46875096,India,31
Sarkhej,22.98297,72.50196,India,62
Telav,22.982789,72.435489,India,41.75
Barwala Ghelasha,,,,23.75
Gomtipur,23.653194,73.577056,India,15.25
Rajpur Gomtipur,23.0136957,72.620581,India,50
Charanki,22.214827,71.838871,India,58.5
Khambhada,22.163145,71.799842,India,38.75
Khamidana,21.308581,70.124238,India,11
Akru,22.26816,71.996001,India,53.75
Navda,22.163508,71.969747,India,26.25
Chokdi,23.6059796,72.3814234,India,66.5
Jeska,,,,42.5
Rojid,22.194614,71.888156,India,18.5
Polarpur,22.240383,71.920171,India,65.75
Vadhela,22.146511,71.973064,India,10.25
Valhia,,,,48.5
Tagadi,22.294804,71.94572,India,33.75
Unchadi,,,,22.75
Zinzar,22.299895,71.983798,India,27
Ambli,22.3258371,72.230266,India,43
Bhadiad,,,,59.75
Gogla,22.2914227,72.2378826,India,17.5
Gorasu,22.25703,72.135001,India,40
Alau,22.2104177,71.6882267,India,32.25
Kadipur,22.2893115,72.1985805,India,56.75
Otaria,,,,62.25
Otaria Sarvodaya Ashram,,,,46.75
Chandarva,22.264635,71.853547,India,13.25
Godhavata,,,,70
Sodhi,22.218913,72.0680657,India,24
Sodhi,22.218913,72.0680657,India,63.25
Valinda,22.365317,72.22165,India,45.25
Valinda,22.365317,72.22165,India,29.25
Jalila,22.2586913,71.8092641,India,51
Moti Vavdi,21.611789,71.646156,India,20.5
Refda,22.205283,71.743954,India,54.25
Sunderiana,,,,35.5
Baldana,22.776274,72.23576,India,53.25
Bamsara,,,,36.87
Deo Dholera,22.248608,72.19311,India,21.5
Dholi,22.567,70.4177,India,10.75
Gangad,22.6271131,72.3006679,India,68
Kalyangadh,22.7177454,72.2702739,India,44.63
Kesardi,,,,59.12
Koth,22.6351443,72.30146026,India,12.25
Rupgadh,22.6235985,72.3446358,India,15.5
Adroda,22.8194217,72.3082861,India,27.75
Bavla,22.8335871,72.3647449,India,38.25
Bhayla,22.75978,72.314374,India,61.75
Chhabasar,22.796425,72.263194,India,65.5
Daran,22.8717541,72.3518921,India,30.75
Dehgamda,,,,13.75
Juval,22.7883954,72.4139088,India,22.5
Juval Rupavati,22.7883954,72.4139088,India,8.25
Kerala,22.7795213,72.3285006,India,48
Kocharia,,,,31.75
Modasar,22.898156,72.364112,India,67.75
Nani Devti,23.19771,70.225786,India,56.25
Nanodara,22.8250182,72.2049071,India,50.25
Ranesar,22.756695,72.271287,India,39.5
Rasam,22.836757,72.396303,India,26.5
Rupal,22.8022846,72.3656438,India,17
Salajada,,,,64.25
Arnej,22.5814229,72.267784,India,52.75
Sankod,22.852056,72.26598,India,9
Bagodara,22.639212,72.201405,India,42
Bholad,22.455074,72.2728749,India,19.5
Bhurkhi,22.5537636,72.2240773,India,69.5
Dhingada,,,,11.25
Gundi Sarvodaya Ashram,,,,45
Jakhada,,,,28
Jawaraj,,,,37.75
Lothal Bhurkhi RS,22.5537636,72.2240773,India,14.25
Mithapur,22.6153751,72.1235792,India,60.25
Moti Boru,21.871414,70.153444,India,55.5
Nani Boru,23.19771,70.225786,India,18.25
Rohika,22.653404,72.242506,India,29.5
Sargwala,,,,66
Shiyal,22.685626,72.151752,India,34
Utelia,,,,47.25
Vejalka,22.2518583,71.8596505,India,32.5
Badarkha,22.8353206,72.4546583,India,20
Chaloda,22.800768,72.449764,India,58
Chandisar,22.7964517,72.487624,India,41.25
Kavitha,22.442049,72.871622,India,23.25
Saroda,22.8255757,72.4895149,India,35.25
Ambli,23.02645515,72.48218659,India,57.75
Bopal,23.0373071,72.4585462,India,16.25
Ghuma,23.0295113,72.4506006,India,43.5
Shela,23.008477,72.444719,India,51.5
Aslali,22.9009514,72.5950578,India,54.75
Jetalpur,22.8923003,72.5966176,India,25
Ode,22.906817,72.544411,India,33.25
Bakrol,22.9826607,72.739001,India,10
Bhuvaldi,23.032651,72.721595,India,63
Kanbha,22.313813,72.790279,India,46.5
Kathwada,23.0568145,72.7075973,India,12.75
Kathwada Maize Product,22.803523,72.56286,India,61
Kubadthal,23.0301963,72.7603698,India,8.5
Kujad,23.0059467,72.7359127,India,69
Pasunj,23.0369992,72.7999934,India,36
Zanu,23.0426922,72.7410512,India,28.75
Dhamatvan,22.955381,72.724124,India,52.25
Gamdi,22.906922,72.6372785,India,19
Geratpur,22.9168572,72.6551837,India,64.75
Harniav,,,,49.75
Nandej,22.8953959,72.6771064,India,14.5
Bhavda,22.9722059,72.7720602,India,30
Chandial,23.0048042,72.8180527,India,39.25
Chaulaj,,,,67.25
Kaniyel,22.9541187,72.9652979,India,21.25
Kuha,22.997049,72.789168,India,57
Ranodra,22.9556383,72.7959453,India,44
Undrel,22.9551295,72.7723016,India,9.5
Vadod,22.512353,73.003249,India,55
Gatrad,22.9789376,72.7053047,India,37
Ramol,22.633075,72.791626,India,68.5
Vanch,22.9438822,72.6899135,India,16
Bareja (Ahmedabad),23.030126,72.536614,India,34.25
Girmatha,,,,25.5
Mahijada,,,,47.5
Miroli,22.8740431,72.519433,India,31
Paldi Kankaj,22.90208,72.5213863,India,62
Pirana,22.9661748,72.557483,India,41.75
Timba,22.368976,72.669587,India,23.75
Vasai,22.847858,72.541999,India,15.25
Shilaj,23.0496616,72.48266149,India,50
Thaltej,23.0498219,72.5160441,India,58.5
Vastral,23.0035442,72.6476882,India,38.75
Hathijan,23.096851,72.8731587,India,11
Vatva,22.95771,72.61172149,India,53.75
Vinzol,22.729617,73.115837,India,26.25
Khodiyar,23.1497493,72.5412266,India,66.5
Balsasan,23.4169926,72.2764664,India,42.5
Bamroli,23.3978046,72.2702014,India,18.5
Bhoyani,23.3610646,72.234314,India,65.75
Chuval Dangarva,23.379169,72.458347,India,10.25
Katosan Road,23.4062434,72.2438732,India,48.5
Madrisana,23.3899186,72.2145087,India,33.75
Moti Rantai,21.871414,70.153444,India,22.75
Sobhasan,23.552554,72.392736,India,27
Sunvala,23.421559,72.239779,India,43
Telavi,23.44038,72.25782,India,59.75
Abasana,24.121083,71.601541,India,17.5
Dabhsar,22.8175075,73.2556611,India,40
Dadhana,23.39486,72.071762,India,32.25
Dekawada,,,,56.75
Detroj,23.336892,72.1870409,India,62.25
Gamanpura,23.548404,72.268769,India,46.75
Gunjala,23.429537,72.125244,India,13.25
Jalisana,23.4003657,72.0150203,India,70
Kukvav,23.3498243,72.218513,India,24
Marusana,23.360316,72.192274,India,63.25
Nadishala,23.388428,72.1692706,India,45.25
Odhav,23.02557955,72.6653505,India,29.25
Rudatal,23.412418,72.161636,India,51
Sadatpura,23.3390309,72.1280444,India,20.5
Sangpura,,,,54.25
Sinaj,23.439126,72.085235,India,35.5
Ughroj,23.363339,72.100865,India,53.25
Vinchhan,23.406937,72.045,India,36.87
Vithlpura,,,,21.5
Zanzarva,,,,10.75
Bhankoda,23.2704312,72.128399,India,68
Chhaniar,,,,44.63
Ghatisana,23.2923484,72.1894324,India,59.12
Kanz,23.2960208,72.1590708,India,12.25
Kointia,,,,15.5
Panar,23.2285711,72.157267,India,27.75
Pandharpura,23.253248,72.199003,India,38.25
Rampura (Ahmedabad),23.2756776,72.1354496,India,61.75
Sihor,21.722134,71.959724,India,65.5
Ukardi,23.333683,72.072816,India,30.75
Adval,22.4414936,71.9996417,India,13.75
Bajarda,22.493041,71.97815,India,22.5
Chhasiana,,,,8.25
Dhandhuka,22.3849802,71.9765847,India,48
Gunjar,22.366019,71.91816,India,31.75
Jaliya,21.550158,71.060589,India,67.75
Khadol,22.4077836,72.0434918,India,56.25
Khandachora Dhandhuka,,,,50.25
Khasta,22.39222,72.055238,India,39.5
Mota Tradia,20.34977,73.049115,India,26.5
Padana,22.728919,70.557002,India,17
Rayka,22.415288,72.024626,India,64.25
Rojka,22.3474321,72.0366509,India,52.75
Vasna,22.781948,72.462896,India,9
Dhanala,22.4505394,72.208395,India,42
Zanzarka,22.444276,71.955157,India,19.5
Fedra,22.4535565,72.1599905,India,69.5
Gamph,22.358025,72.16588,India,11.25
Kamiala,,,,45
Kasindra,22.3281608,72.1681787,India,28
Loliya,22.508593,72.168613,India,37.75
Bavaliary,,,,14.25
Panchham,,,,60.25
Bhangadh,22.1234135,72.211734,India,55.5
Dholera,22.249191,72.195275,India,18.25
Shela,23.008477,72.444719,India,29.5
Hebatpur,22.1413254,72.1005135,India,66
Khun,22.2449925,72.2282455,India,34
Mingalpur,22.0998684,72.2055728,India,47.25
Sandhida,22.187447,72.155117,India,32.5
Ganol,22.582077,72.437955,India,20
Ingoli,22.60099,72.48644,India,58
Kauka,22.6109505,72.444482,India,41.25
Pisawada,22.643686,72.477442,India,23.25
Simej,22.6136441,72.4093578,India,35.25
Varna,22.501894,72.395965,India,57.75
Vataman,22.5244945,72.4149129,India,16.25
Virdi,21.179706,70.387057,India,43.5
Dalod,23.3610078,71.9700549,India,51.5
Dhedasana,,,,54.75
Kadvasan,20.8354,70.689428,India,25
Kunpur,23.354455,72.008249,India,33.25
Mandal (Ahmedabad),23.2883831,71.9178854,India,10
Nana Ubhada,,,,63
Navagam,22.798302,72.578924,India,46.5
Nayakpur,23.416488,71.977421,India,12.75
Rakhiana,,,,61
Ribadi,,,,8.5
Solgam,23.3240153,72.0211362,India,69
Vanpardi,23.3790001,71.9658861,India,36
Varmor,23.357455,71.902458,India,28.75
Vinzuvada,23.36082,71.92601,India,52.25
Asalgam,22.899561,72.100114,India,19
Bordibazar Viramgam,23.128868,72.04587,India,64.75
Daslana,23.25822,72.05582,India,49.75
Dhakdi,23.182172,71.98167,India,14.5
Dumana,23.130429,71.979781,India,30
Ghoda,22.947488,72.070279,India,39.25
Goraiya,23.1321096,71.9279683,India,67.25
Hansalpur,23.0892758,72.06425,India,21.25
Hirapura,23.1489502,72.1505173,India,57
Jakwada,,,,44
Jalampur,23.660752,73.489864,India,9.5
Joshipura,23.200564,72.112486,India,55
Junapadhar,,,,37
Kamijala,,,,68.5
Kankravadi,,,,16
Karakthal,23.051763,72.111515,India,34.25
Khudad,23.189606,72.133775,India,25.5
Kokta,23.162048,72.086708,India,47.5
Kumarkhan,22.9065033,72.019811,India,31
Melaj,23.162075,72.166683,India,62
Ogan,23.029047,72.171335,India,41.75
Rahemalpur,23.071582,72.028612,India,23.75
Rangpur,22.402663,71.926378,India,15.25
Sachana,23.079885,72.173871,India,50
Sarsavadi,,,,58.5
Thori Mubarak,23.0529725,72.0459688,India,38.75
Thuleta,22.939329,72.10325,India,11
Trent,23.219811,72.006732,India,53.75
Ukhlod,23.2184793,72.0412333,India,26.25
Vadgas,23.0904,71.946455,India,66.5
Vani,23.0683251,71.9814201,India,42.5
Vansva,21.210972,72.659289,India,18.5
Vanthal,22.981563,72.03186,India,65.75
Viramgam,23.1270255,72.0511173,India,10.25
Zezra,23.345412,71.761276,India,48.5
Andej,,,,33.75
Chekhla,23.0619005,72.3687818,India,22.75
Godhavi,23.02348,72.409238,India,27
Bakrana,22.962569,72.16046,India,43
Bol,22.990849,72.265377,India,59.75
Nedharad,,,,17.5
Chharodi,23.045578,72.265252,India,40
Dodar,,,,32.25
Dodar,,,,56.75
Iawa (Vasna),22.770495,72.74234,India,62.25
Iawa (Vasna),22.770495,72.74234,India,46.75
Jholapur,,,,13.25
Changodar,22.9402206,72.4567127,India,70
Khorajnanoda,,,,24
Siawada,,,,63.25
Devtimoti,,,,45.25
Vasna (Iawa),22.770495,72.74234,India,29.25
Virochannagar,23.096347,72.227206,India,51
Matoda,22.8838171,72.3995579,India,20.5
Moraiya,22.9306513,72.4407996,India,54.25
Vasna Chacharvadi,22.781948,72.462896,India,35.5
Charel,21.948919,70.401792,India,53.25
Fangadi,24.498495,71.481081,India,36.87
Goraj,22.969388,72.324073,India,21.5
Jamp,,,,10.75
Kaneti,23.002862,72.401259,India,68
Makhiav,,,,44.63
Mankol,22.890405,72.269725,India,59.12
Moti Kishol,21.871414,70.153444,India,12.25
Pimpan,,,,15.5
Rethal,22.889382,72.188224,India,27.75
Sanand,22.989632,72.38545,India,38.25
Upardal,22.849865,72.145651,India,61.75
Vekaria,21.31661,70.91288,India,65.5
Vinchhiya,22.20947,71.379939,India,30.75
D Cabin,23.1023628,72.5702646,India,13.75
Railway Colony (Ahmedabad),23.09567075,72.58211624,India,22.5
Gandhi Ashram (Ahmedabad),23.06016515,72.58063822,India,8.25
Ghatlodia,23.0848516,72.53032771,India,48
Ghodasar (Ahmedabad),22.9873418,72.611577,India,31.75
Isanpur,22.9798932,72.5997604,India,67.75
Juhapura,23.0040778,72.52849647,India,56.25
Krishnanagar (Ahmedabad),,,,50.25
Memnagar,23.0455534,72.5424176,India,39.5
Kubernagar,23.0750588,72.64197244,India,26.5
Naroda Road,23.0586915,72.6374085,India,17
Navjivan,23.114943,72.581545,India,64.25
Saijpur Bogha,22.365751,72.815223,India,52.75
Noblenagar,,,,9
N C Market,23.465795,73.113439,India,42
Railwaypura,23.655446,72.389027,India,19.5
Revdibazar,,,,69.5
Sardarnagar,23.0804289,72.620522,India,11.25
