city,lat,lng,country,iso2,admin_name,population
Saino,25.1134,87.0108,India,IN,Bihar,2987
Shekhpura,25.5725,85.1428,India,IN,Bihar,2950
Cāchohalli,13.001,77.4717,India,IN,Karnātaka,2946
Nārāyanpur Kola,25.1293,87.0076,India,IN,Bihar,2919
Gyan Chak,25.5496,85.2423,India,IN,Bihar,2855
Kasgatpur,13.1101,77.5045,India,IN,Karnātaka,2852
Kitanelli,13.0095,77.4191,India,IN,Karnātaka,2827
Harchandi,25.1,87.0442,India,IN,Bihar,2827
Santoshpur,22.465,88.2193,India,IN,West Bengal,2808
Bendravādi,12.3636,76.9137,India,IN,Karnātaka,2684
Kodagihalli,12.9771,77.4651,India,IN,Karnātaka,2585
Harna Buzurg,25.0981,87.0148,India,IN,Bihar,2579
Mailanhalli,13.1863,77.6963,India,IN,Karnātaka,2543
Sultānpur,25.5248,85.2507,India,IN,Bihar,2473
